ID;Description
0;Pojemnoœæ: 200<br>Automatyczne odnowienie: 3<br>£adunki: 2<br>Zdolnoœæ: -
1;Pojemnoœæ: 200<br>Automatyczne odnowienie: 2<br>£adunki: 2<br>Zdolnoœæ: -
2;Pojemnoœæ: 250<br>Automatyczne odnowienie: 3<br>£adunki: 3<br>Zdolnoœæ: Mo¿liwoœæ poœwiêcenia ³adunku w celu uzyskania kolejnego rzutu w teœcie na trafienie w walce wrêcz.
3;Pojemnoœæ: 250<br>Automatyczne odnowienie: 3<br>£adunki: 3<br>Zdolnoœæ: Mo¿liwoœæ poœwiêcenia ³adunku w celu uzyskania kolejnego rzutu w teœcie na trafienie z broni.
4;Pojemnoœæ: 250<br>Automatyczne odnowienie: 3<br>£adunki: 3<br>Zdolnoœæ: Mo¿liwoœæ poœwiêcenia ³adunku w celu uzyskania kolejnego rzutu w teœcie na skuteczne u¿ycie mocy.
5;Pojemnoœæ: 300<br>Automatyczne odnowienie: 2<br>£adunki: 3<br>Zdolnoœæ: -
6;Pojemnoœæ: 300<br>Automatyczne odnowienie: 4<br>£adunki: 4<br>Zdolnoœæ: Odnowienie tarcz wymaga u¿ycia tylko AM. 
7;Pojemnoœæ: 350<br>Automatyczne odnowienie: 2<br>£adunki: 3<br>Zdolnoœæ: Przy roz³adowaniu odpycha cele znajduj¹ce siê w odleg³oœci 2 metrów zadaj¹c 100 punktów obra¿eñ. 
8;Pojemnoœæ: 350<br>Automatyczne odnowienie: 2<br>£adunki: 3<br>Zdolnoœæ: Mo¿liwoœæ poœwiêcenia jednego ³adunku by do swojej nastêpnej tury móc zignorowaæ 10% obra¿eñ. 
9;Pojemnoœæ: 400<br>Automatyczne odnowienie: 3<br>£adunki: 3<br>Zdolnoœæ: Przy roz³adowaniu odnawia 10% maksymalnego poziomu tarcz.
10;Pojemnoœæ: 500<br>Automatyczne odnowienie: 3<br>£adunki: 3<br>Zdolnoœæ: U¿ycie omni-¿elu odnawia dwa ³adunki. 
11;Pojemnoœæ: 500<br>Automatyczne odnowienie: 2<br>£adunki: 2<br>Zdolnoœæ: Przy automatycznym odnowieniu, odzyskuje jeden ³adunek do maksymalnych dwóch.
