SkillName;SkillType
Brak;Brak
Amunicja Dysrupcyjna;Klasowe
Amunicja Odkszta³caj¹ca;Amunicja
Amunicja Przeciwpancerna;Amunicja
Amunicja Zapalaj¹ca;Amunicja
Bariera;Biotyczne
Dysruptor fazowy;Biotyczne
Fala uderzeniowa;Biotyczne
Kamufla¿ Taktyczny;Klasowe
Krio-Amunicja;Amunicja
Kriowybuch;Technologiczne
Kula Biotyczna;Biotyczne
Natychmiastowe Zamro¿enie;Technologiczne
Nowa;Klasowe
Odkszta³cenie;Biotyczne
Osobliwoœæ;Biotyczne
Pakiet Stymulantów;Bojowe
Pancerz Technologiczny;Klasowe
Przeci¹¿enie;Technologiczne
Przyci¹gniêcie;Biotyczne
RzeŸ;Bojowe
Rzut;Biotyczne
Sabota¿;Technologiczne
Siatka Pojmañ;Technologiczne
Skan Taktyczny;Technologiczne
Skok adrenaliny;Bojowe
Skupienie biotyczne;Biotyczne
Sonda Bojowa;Technologiczne
Sonda Obronna;Technologiczne
Spalenie;Technologiczne
Strza³ wstrz¹sowy;Bojowe
Szar¿a Biotyczna;Klasowe
Szkolenie bojowe;Bojowe
Umocnienie;Bojowe
Wie¿yczka Stra¿nicza;Technologiczne
Wyssanie Energii;Technologiczne
Zastój;Biotyczne
